iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
127,12800,-21.74342,1.15805,0.39328,-21.28696,1.32108,0.38901,-21.22621,1.63182,0.37709,-27.71405,1.23166,0.46865
128,12900,-21.55525,1.07007,0.39118,-21.24165,1.31788,0.38668,-21.09601,1.34993,0.37505,-27.59662,0.82134,0.46556
129,13000,-21.35099,1.07075,0.38839,-20.93878,1.88646,0.38410,-21.03213,1.40318,0.37252,-27.33645,0.76288,0.46302
130,13100,-21.25811,1.04014,0.38627,-21.05159,1.34782,0.38241,-20.92768,1.73203,0.37022,-27.13755,0.78885,0.46014
131,13200,-21.22158,1.15530,0.38440,-20.82468,1.31982,0.37980,-21.11555,1.31901,0.36763,-27.08893,0.74175,0.45682
132,13300,-21.26158,1.16150,0.38133,-21.05542,1.40830,0.37797,-20.87332,1.24188,0.36516,-26.85779,0.75603,0.45453
133,13400,-21.18793,1.07842,0.37951,-20.73621,1.43567,0.37557,-20.64416,1.22137,0.36346,-26.73679,0.85054,0.45111
134,13500,-21.02227,1.04649,0.37740,-20.70003,1.24399,0.37355,-20.64995,1.37974,0.36051,-26.86358,0.94873,0.44789
135,13600,-20.77303,1.41132,0.37556,-20.62463,1.28204,0.37113,-20.59431,1.53641,0.35820,-26.72656,0.82110,0.44484
136,13700,-20.75223,1.13175,0.37264,-20.39814,1.41653,0.36899,-20.42125,1.52096,0.35604,-26.53011,0.58040,0.44169
137,13800,-20.64111,1.18112,0.37020,-20.41974,1.29034,0.36691,-20.30867,1.18589,0.35387,-26.41998,0.56777,0.43927
138,13900,-20.54224,1.28236,0.36824,-20.38544,1.34616,0.36475,-20.19086,1.42111,0.35196,-26.32586,0.54407,0.43648
139,14000,-20.37148,1.23208,0.36577,-20.24748,1.25854,0.36224,-20.20635,1.41441,0.34939,-26.12522,0.56550,0.43352
140,14100,-20.38377,1.20002,0.36362,-20.21065,1.34303,0.36086,-20.02799,1.19883,0.34732,-25.98918,0.56112,0.43035
