iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,4_maddpg_actor_loss,4_maddpg_critic_loss
224,22500,-0.18665,1.02020,-0.16453,1.06556,-0.18586,0.74626,-0.78281,0.84453
225,22600,-0.16446,0.96648,-0.14133,0.96942,-0.13451,0.64782,-0.78647,0.88813
226,22700,-0.17650,1.35548,-0.13343,1.14591,-0.16046,0.89542,-0.78667,0.79462
227,22800,-0.17139,0.95076,-0.12463,0.71601,-0.13530,1.00813,-0.77525,0.81712
228,22900,-0.16105,1.24263,-0.14519,1.06025,-0.15220,1.29216,-0.73696,0.86518
229,23000,-0.16134,1.05741,-0.12941,1.35765,-0.15994,1.03247,-0.79268,0.81198
230,23100,-0.15126,0.88322,-0.15433,1.01558,-0.15246,1.33464,-0.75629,0.88834
231,23200,-0.15696,1.26459,-0.13495,0.97715,-0.13018,1.03644,-0.77463,0.79903
232,23300,-0.16417,1.16544,-0.12775,0.70438,-0.13361,1.13649,-0.77673,0.83841
233,23400,-0.16042,0.92386,-0.11335,1.12450,-0.14287,1.26609,-0.78688,0.81977
234,23500,-0.13788,0.96992,-0.14930,0.91765,-0.13801,0.99093,-0.78297,0.85210
235,23600,-0.13852,1.01107,-0.13390,1.65373,-0.11874,0.75336,-0.76766,0.84598
236,23700,-0.11646,0.79766,-0.12677,0.93036,-0.13007,1.10835,-0.77660,0.85591
237,23800,-0.12247,0.73785,-0.12967,0.96535,-0.15423,0.87891,-0.76520,0.83216
238,23900,-0.13184,1.00927,-0.12382,1.20381,-0.12959,1.20593,-0.78671,0.78446
239,24000,-0.15181,1.36379,-0.12918,0.83989,-0.12728,0.96759,-0.76614,0.82812
240,24100,-0.15051,1.25592,-0.12896,1.07910,-0.13301,0.98151,-0.76461,0.79712
241,24200,-0.14405,0.91439,-0.11868,1.13531,-0.16399,0.93154,-0.77097,0.81566
242,24300,-0.16122,1.55757,-0.13843,1.14300,-0.11727,1.05836,-0.76255,0.85421
243,24400,-0.13770,1.05044,-0.17040,0.92391,-0.13043,1.16091,-0.75573,0.86473
244,24500,-0.14722,0.71616,-0.12778,0.81650,-0.13393,0.94561,-0.74219,0.83195
245,24600,-0.12412,1.10266,-0.10694,0.86670,-0.13263,0.83065,-0.75731,0.84512
246,24700,-0.14242,1.30615,-0.17132,0.88086,-0.12249,0.77145,-0.75875,0.82775
247,24800,-0.12327,0.77431,-0.14219,1.14242,-0.15125,1.03846,-0.76729,0.78716
248,24900,-0.16048,1.09080,-0.14143,1.51006,-0.11036,0.75299,-0.76796,0.86576
